CORBA POTÈNCIA fontajau febrer-juliol 2023
18/02/2023 14:00 19 kW (estiu=False)
18/02/2023 15:00 19 kW (estiu=False)
18/02/2023 16:00 18 kW (estiu=False)
18/02/2023 17:00 18 kW (estiu=False)
18/02/2023 18:00 18 kW (estiu=False)
18/02/2023 19:00 24 kW (estiu=False)
18/02/2023 20:00 29 kW (estiu=False)
18/02/2023 21:00 29 kW (estiu=False)
18/02/2023 22:00 29 kW (estiu=False)
18/02/2023 23:00 29 kW (estiu=False)
19/02/2023 00:00 27 kW (estiu=False)
19/02/2023 01:00 24 kW (estiu=False)
19/02/2023 02:00 23 kW (estiu=False)
19/02/2023 03:00 23 kW (estiu=False)
19/02/2023 04:00 23 kW (estiu=False)
19/02/2023 05:00 23 kW (estiu=False)
19/02/2023 06:00 23 kW (estiu=False)
19/02/2023 07:00 23 kW (estiu=False)
19/02/2023 08:00 34 kW (estiu=False)
19/02/2023 09:00 19 kW (estiu=False)
19/02/2023 10:00 54 kW (estiu=False)
19/02/2023 11:00 104 kW (estiu=False)
19/02/2023 12:00 32 kW (estiu=False)
19/02/2023 13:00 16 kW (estiu=False)
19/02/2023 14:00 17 kW (estiu=False)
19/02/2023 15:00 17 kW (estiu=False)
19/02/2023 16:00 19 kW (estiu=False)
19/02/2023 17:00 113 kW (estiu=False)
19/02/2023 18:00 149 kW (estiu=False)
19/02/2023 19:00 161 kW (estiu=False)
19/02/2023 20:00 131 kW (estiu=False)
19/02/2023 21:00 67 kW (estiu=False)
19/02/2023 22:00 38 kW (estiu=False)
19/02/2023 23:00 31 kW (estiu=False)
20/02/2023 00:00 26 kW (estiu=False)
20/02/2023 01:00 23 kW (estiu=False)
20/02/2023 02:00 22 kW (estiu=False)
20/02/2023 03:00 23 kW (estiu=False)
20/02/2023 04:00 23 kW (estiu=False)
20/02/2023 05:00 23 kW (estiu=False)
20/02/2023 06:00 23 kW (estiu=False)
20/02/2023 07:00 25 kW (estiu=False)
20/02/2023 08:00 45 kW (estiu=False)
20/02/2023 09:00 40 kW (estiu=False)
20/02/2023 10:00 47 kW (estiu=False)
20/02/2023 11:00 55 kW (estiu=False)
20/02/2023 12:00 55 kW (estiu=False)
20/02/2023 13:00 58 kW (estiu=False)
20/02/2023 14:00 51 kW (estiu=False)
20/02/2023 15:00 46 kW (estiu=False)
20/02/2023 16:00 40 kW (estiu=False)
20/02/2023 17:00 40 kW (estiu=False)
20/02/2023 18:00 60 kW (estiu=False)
20/02/2023 19:00 82 kW (estiu=False)
20/02/2023 20:00 84 kW (estiu=False)
20/02/2023 21:00 79 kW (estiu=False)
20/02/2023 22:00 74 kW (estiu=False)
20/02/2023 23:00 53 kW (estiu=False)
21/02/2023 00:00 41 kW (estiu=False)
21/02/2023 01:00 23 kW (estiu=False)
21/02/2023 02:00 23 kW (estiu=False)
21/02/2023 03:00 23 kW (estiu=False)
21/02/2023 04:00 23 kW (estiu=False)
21/02/2023 05:00 22 kW (estiu=False)
21/02/2023 06:00 23 kW (estiu=False)
21/02/2023 07:00 24 kW (estiu=False)
21/02/2023 08:00 37 kW (estiu=False)
21/02/2023 09:00 36 kW (estiu=False)
21/02/2023 10:00 93 kW (estiu=False)
21/02/2023 11:00 150 kW (estiu=False)
21/02/2023 12:00 110 kW (estiu=False)
21/02/2023 13:00 102 kW (estiu=False)
21/02/2023 14:00 79 kW (estiu=False)
